shortdescription,regex,attemptregex
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1*0+1*)*|(0*1+0*1+0*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+(aaa+))
At least one a followed by one b,a+b,(a|a*)b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(((a)|(b))+)+(aaa)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa
non isolated 'b',(a|(b*bb))*,(a*|(b*b)*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))+)?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)*(aaa)a*
Length 1 or More,(0|1)(0|1)*,[01]*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((a|b)a*b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa*
At least one a followed by one b,a+b,[a]*[b]
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)*(ab|ba)*
At least one a followed by one b,a+b,(a*b)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baa*b*(a*bb*)*
even prefix,(ab|ba)*,((ab)*(ba)*)*(a|b)?
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b+a*)*
4 | #0,1*(01*01*01*01*)*,(0|1)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*[b][aa][ab]*[b]
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)(a|b)(a|b)*(a{3,})*"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b|aa|bb|ab|ba)*a{3,}"
Odd number of 1s,0*10*(10*10*)*,((0|1)*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*|1*|((1+0*1+)*|(0+1*0+)*)*)*
even prefix,(ab|ba)*,(ab|ba)*(aabb+bbaa+ab+ba)*
At least one a followed by one b,a+b,(a*(b))*
At least one a followed by one b,a+b,(a)+(b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01+0)|(10+1)|(0*10*)|(1*01*))*
Odd number of 1s,0*10*(10*10*)*,(0*10*)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1?|0|1+(0*1*)*1+|0+(0*1*)*0+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)+a+a+a
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa
non isolated 'b',(a|(b*bb))*,a*|((a|b)*bb(a*b*))
Length 1 or More,(0|1)(0|1)*,(0*1+)*(1*0+)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*(0|1)*1*|0*(0|1)*0*
non isolated 'b',(a|(b*bb))*,(a*(bb)*b*a*)*
even number of 1's,(0*10*10*)*|0*,0*(0*1*)*0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|1+(0*1*)*1+|0+(1*0*)*0+)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|((a|b)a*ba))*
even prefix,(ab|ba)*,((aa|bb|ab|ba)?)*
At least one a followed by one b,a+b,a*b
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*b+|a*)*
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*|(a|bab)*(b|aba)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0+1+)*|0+(1+0+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa*
Odd number of b's,(a*ba*b)*a*ba*,((a|(bb))*b[a]*)*
even prefix,(ab|ba)*,(a|b)*(ab|ba|aa|ab)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0|(0|1)*|0
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)?
Odd number of b's,(a*ba*b)*a*ba*,(a*)b+((a*)|(b(a*)b))+(a*)
Odd number of b's,(a*ba*b)*a*ba*,a*(b(a*ba*b)*)*a*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*(1+0+)*|1*(0+1+)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+|0+)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b*a*)+
even prefix,(ab|ba)*,(aa|ab|ba|bb)*
Odd number of b's,(a*ba*b)*a*ba*,(a|(ba*b))*b+a*
Odd number of b's,(a*ba*b)*a*ba*,a*b+(bb*|a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*|b*)*(a)(a)(a)(a*)
non isolated 'b',(a|(b*bb))*,((b(b*))|a)*
At least one a followed by one b,a+b,(a|b)*a*b
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba*)*
non isolated 'b',(a|(b*bb))*,((bb*)*a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+b*a*|b*a*
Odd number of b's,(a*ba*b)*a*ba*,(a|b(bb)*)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*b*)*
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1)
non isolated 'b',(a|(b*bb))*,(b(b*)|a)*
non isolated 'b',(a|(b*bb))*,(a*|(b*bb*)*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)*(0*1*0*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)+(0*1*0*)
Every b followed by two or more a's,(a|baa)*,(a)*(b|aa|a*)*
At least one a followed by one b,a+b,(a|b)*
even prefix,(ab|ba)*,((a|b)(a|b))*
At least one a followed by one b,a+b,[ab]*[a][b][ab]*
Odd number of b's,(a*ba*b)*a*ba*,(a|b|bb)+
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)*(0|1)*(0|1)*
first and third,a(a|b)a(a|b)*,a(a|b)+a(a|b)*
contains 'bab',(a|b)*(bab)(a|b)*,(bab)*(a|b)*(bab)*
non isolated 'b',(a|(b*bb))*,(((b*bb*)|a)?)*
Every b followed by two or more a's,(a|baa)*,(a)*((b|aa)*a*)*
At least one a followed by one b,a+b,a+b+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*aaa*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)*(a|b)*a{3,}"
Odd number of b's,(a*ba*b)*a*ba*,b*((a|b)*(a|b)*)*
Length 1 or More,(0|1)(0|1)*,(1|0)*|(0|1)*
Odd number of b's,(a*ba*b)*a*ba*,(a|ab)*(a|ba)*(b|a)*
At least one a followed by one b,a+b,a*b+
Every b followed by two or more a's,(a|baa)*,(a|b(aa*))*
At least one a followed by one b,a+b,a*b*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*1*
even prefix,(ab|ba)*,((ab)|(ba))*|(a|b)(a|b)*
non isolated 'b',(a|(b*bb))*,(a|(b*bb*))*
non isolated 'b',(a|(b*bb))*,(ab|ba|b|a)*
Odd number of 1s,0*10*(10*10*)*,((0|1))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)
non isolated 'b',(a|(b*bb))*,(bb)*(a|b)*(bb)*
even prefix,(ab|ba)*,(a+b|b+a)*
At least one a followed by one b,a+b,(a|b)*(ab)
even prefix,(ab|ba)*,(aa|ab|ba|ba)*
At least one a followed by one b,a+b,(aa*b)*
non isolated 'b',(a|(b*bb))*,(a|((b|bb)+))*|a*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0*1*)*0*
At least one a followed by one b,a+b,(a*)+b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(01)*1*0)*|(1*(10)*0*1)*
even number of 1's,(0*10*10*)*|0*,0*(0*1+)*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)*
even prefix,(ab|ba)*,(bb|aa|(ab|ba)*)*((aa)*|(bb)*|(ab)*|(ba)*)*
even prefix,(ab|ba)*,(ab)*(ab|ba|aa|ab)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,([ab]*(baa)*[ab]*)*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*|1*(0+1+)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|1*(0*1*)*1+|0*(1*0*)*0+
Odd number of b's,(a*ba*b)*a*ba*,b|(b|bbb|bbab|babb|a)*
Three Choices (Regex),001|1010|110,1*0*01*0*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)|0)*|1((00*1)|1)*
Odd number of 1s,0*10*(10*10*)*,((0*)1(0*))+
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+|(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b|(a*b*)*aaa
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*a*)*
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*
first and third,a(a|b)a(a|b)*,(a)(a|b)*
At least one a followed by one b,a+b,(a|b)*b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*[baa][ab]*b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|ba*)+b
even prefix,(ab|ba)*,((ab)|(ba))*((a|b)(a|b))*
even prefix,(ab|ba)*,(ab|aa|bb|ba)*(a+b)*
At least one a followed by one b,a+b,a+b*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b))|((a|b)a*ba))*
Odd number of 1s,0*10*(10*10*)*,0*1(11)*(0|1)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a?)|((a|b)a*b(a?))*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a)*|(ab)*b*a*
Every b followed by two or more a's,(a|baa)*,a*(b+aaa*)*
even prefix,(ab|ba)*,(bb|aa|aabb|abab|abba|baba|bbaa|baab)*(aa|bb|ab|ba)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(((a|b)+)+)aaa
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(b|ba))*
non isolated 'b',(a|(b*bb))*,(a|b|bb)*
even number of 1's,(0*10*10*)*|0*,(0*(1+0*1+)*0*)*
contains no 00 nor 11,1?(01)*0?,((1)?(0)?)*
even prefix,(ab|ba)*,((ab)*(ba)*)*|abb*a*b*ba
At least one a followed by one b,a+b,a|b*a*b
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b)*a(a|b)*|b*a*
non isolated 'b',(a|(b*bb))*,(a|bb*)*
Odd number of b's,(a*ba*b)*a*ba*,(a*)b((a*)|(b+(a*)+b))+(a*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1+)*|(0*1+0+)*
even prefix,(ab|ba)*,(ab(ab)*)*((a|b)(a|b))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aaa(a)*|(a|b)*baaa(a)*
Every b followed by two or more a's,(a|baa)*,(a|(a*b*(aa)a*)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*aaa
Every b followed by two or more a's,(a|baa)*,a*|(a|b)*aa
At least one a followed by one b,a+b,a|a*b
even prefix,(ab|ba)*,(ab|ba?)*(aa|ab|bb|ba)*
Three Choices (Regex),001|1010|110,001|110|10101|1010
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)|((a|b)a*b))*
Odd number of b's,(a*ba*b)*a*ba*,(a*b+a*)*
Odd number of b's,(a*ba*b)*a*ba*,([ab](a)*(bb)*)*
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,/#*(a|b|/|(#*(a|b)))*#*/
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+aaa
even prefix,(ab|ba)*,((aa)*|(bb)*)(aa|bb|ab|ba)*
Odd number of b's,(a*ba*b)*a*ba*,(a*|b?)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(aaa)+
even prefix,(ab|ba)*,(aa|bb|ab|ba)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*)|((0+1*0+)*)|(0|1)*
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|ba*b)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0*)(0*1*)*(0*)
Every b followed by two or more a's,(a|baa)*,[a]*[baa]*
Odd number of b's,(a*ba*b)*a*ba*,(((a*)*(b*))*(b*))+b+(((a*)*(b*))*(b*))
non isolated 'b',(a|(b*bb))*,(a|(b*b)*)*
even prefix,(ab|ba)*,(((aa)|(bb)|(ab)|(ba))?)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+(1*0)*)*|(1+(0*1)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*|(baa)+b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb|b|a)*(aaa)a*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0)*(0*1*)*(0)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba)|((a|b)a*b))*)?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|bb|ba)*aaa*
Every b followed by two or more a's,(a|baa)*,(a*)+(a*|(b+a+a))+(a*)
even number of 1's,(0*10*10*)*|0*,((0*|1)*(0*|1)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b*a*|a*b*)*(baa)+(b*a*|a*b*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)*(a|b)*(baa)*b
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?(0|1)?(0|1)?
contains 'bab',(a|b)*(bab)(a|b)*,(a*b*(bab)*a*b*)*
non isolated 'b',(a|(b*bb))*,(a*(bb*)*a*)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0|1|(0(1*0*)*0)*|(1(0*1*)*1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa(a)*
non isolated 'b',(a|(b*bb))*,(a*|(b*bb*)+)*
At least one a followed by one b,a+b,(a|b)+b
Odd number of b's,(a*ba*b)*a*ba*,(a|b)*(b)(a|b)*
Three Choices (Regex),001|1010|110,(001|1010|110)+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*0*)|(1*0*1*))*
An even number of 1's,(0|10*1)*,(0*1?0*1?0*)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*|ba*|b)*a*
Three Choices (Regex),001|1010|110,(001|1010|110)*
An even number of 1's,(0|10*1)*,(0*(10)*1*)*0*
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)*|(#/)
Odd number of b's,(a*ba*b)*a*ba*,(((a*)+b+(a*)+b+(a*))|(a*))+b+(((a*)+b+(a*)+b+(a*))|(a*))
first and third,a(a|b)a(a|b)*,a(a|b)*aa*b*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*b))*
non isolated 'b',(a|(b*bb))*,a?(a|bb*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)*(a|b)*b
Every b followed by two or more a's,(a|baa)*,(b|aa|a)*
even prefix,(ab|ba)*,((ab)|(ba))*((ab)|(ba)|(aa)|(bb))*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0|(0|1)*0)
non isolated 'b',(a|(b*bb))*,(a|b)*bb(a|b)*|a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)a*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa)*b
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*b*a*
Three Choices (Regex),001|1010|110,001|10101|1010|110
non isolated 'a',(b|(a*aa))*,(b*|ab+)*aa(a|b)*|b*
contains 'bab',(a|b)*(bab)(a|b)*,(a*|b*)*|bab|(a*|b*)*
even prefix,(ab|ba)*,(bb|aa|aabb|abab|abba|baba|bbaa|baab)*((aa)|(bb)|(ab)|(ba))*
even number of 1's,(0*10*10*)*|0*,(0*|1)*
even prefix,(ab|ba)*,(aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*
At least one a followed by one b,a+b,[a]*[ab]
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*)*((10)*(0*1*)*(01)*)*(0*1*)*
even number of 1's,(0*10*10*)*|0*,(0?1?0*1?0*)*
At least one a followed by one b,a+b,(a*)b
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a*b*))|a*
non isolated 'b',(a|(b*bb))*,(a)*(ab|ba|b|a)*(a)*
even prefix,(ab|ba)*,((ab)|(ba))*((a|b)(b|a))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+aaa(a)*
even prefix,(ab|ba)*,(aa|bb)*|(ab|ba)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((b|a)*b+a+a*(b|a)+b)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(aaa)
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*b)*a*
even number of 1's,0*(10*1)*0*,0*(10*10*)*
non isolated 'b',(a|(b*bb))*,(a|b*bb*)*
even prefix,(ab|ba)*,(ab|ba)*(aabb+bbaa+baba+abab)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(0|1)*0*)|(1*(0|1)*1*)
Odd number of b's,(a*ba*b)*a*ba*,((a*(bb)*a*)ba*)+
even prefix,(ab|ba)*,((ab|ba)*(aa|ab|bb|ba)*)+(ab|ba)*
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*(bab)*(a|b)*(bab)*(a|b)*
Every b followed by two or more a's,(a|baa)*,(a*|baa*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(a|b)*aaa
At least one a followed by one b,a+b,(aa*)b+
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*|1*
At least one a followed by one b,a+b,(a)*(b+)
even prefix,(ab|ba)*,((ab)|(ba))*((ab)|(ba)|(bb)|(aa))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|0*(1*0*)*|1*(0*1*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0*1+0*1+0*)*|(1*0+1*0+1*)*
even prefix,(ab|ba)*,(aa*|bb*)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|1+(0+1+)*|0+(1+0+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)*(a|b))aa(a)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(1|0)*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa(a)*)*
even prefix,(ab|ba)*,((aa)|(bb)|(ab)|(ba))*
Odd number of 1s,0*10*(10*10*)*,(0|1)*1(0|1)*
An even number of 1's,(0|10*1)*,1*|(0|1)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0+(0|1)*0+)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b|a)*
Every b followed by two or more a's,(a|baa)*,(baa*|a*)*
even prefix,(ab|ba)*,((ab)*(ba)*)*|abb*ba
Odd number of b's,(a*ba*b)*a*ba*,(a|(ab)*b)+(ba)*
even prefix,(ab|ba)*,(ab|ba)*(aa|bb|ba|ab)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+)*b*a*
At least one a followed by one b,a+b,(a)*(b)*
first and third,a(a|b)a(a|b)*,a+(a|b)+a+(a|b)*
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#((a|b|/)*#*)*#/)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0(0*|(0*1+0+))*|1(1*|1*0+1+)*)?
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*)|(1*)|((0+1+)*(0+1+0+)*)|((1+0+)*(1+0+1+)*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(((a+)|b+a*))*
At least one a followed by one b,a+b,(a+)*(b)
At least one a followed by one b,a+b,a(a*b*)*b
even prefix,(ab|ba)*,(a*|b*)*(aa|ab|ba|bb)*
Odd number of b's,(a*ba*b)*a*ba*,(a*)+b+((a*)|(b+(a*)+b))+(a*)
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)?(0|1)?
even prefix,(ab|ba)*,((ab)|(ba))*(aa|ab|ba|bb)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|ba|bb)*(aaa)*
even prefix,(ab|ba)*,(ab|ba)*|(aa|ab|bb)*
At least one a followed by one b,a+b,(a)*b
At least one a followed by one b,a+b,(a*b{1})
Odd number of b's,(a*ba*b)*a*ba*,(a*(b|bbb)*)*
Odd number of b's,(a*ba*b)*a*ba*,b|(bb*|a*|bab*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"[ab]{2,}"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a|bb|ba(a|b))*(b|ba))?
Three Choices (Regex),001|1010|110,(0|1)*(01)*(0|1)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),((10*)*1+)*|((01*)*0+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*|b*)+(a*|b*)+aaa+
first and third,a(a|b)a(a|b)*,a(a|b)(a|b)*
even prefix,(ab|ba)*,((ab)*(a|b)(a|b)|(ba)*(a|b)(a|b))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)*a*a*a
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa
Odd number of b's,(a*ba*b)*a*ba*,((a|b)*|(a|bb)*)*b((a|bb)*|(a|b)*)
even prefix,(ab|ba)*,(ab|ba)*(ab|ba|aa|ab)*
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#((a|b|/)#*)*#/)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01*0*)*|1*(10*1*)*
even prefix,(ab|ba)*,(a|b)*(a|b)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0?)|1|(0(0|1)*0)|(1(0|1)*1)
Every b followed by two or more a's,(a|baa)*,(a|b|baa+)*
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|ab|ba|bb)*
At least one a followed by one b,a+b,[a]*b
Odd number of 1s,0*10*(10*10*)*,(0*10*)*0*10*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*|0(0*1*)*0
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]*a{3}
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a*)|(b+a*))*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*|baa)+b+
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[01]*[10]*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a)+|b+a*)*
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)*(bab)*
At least one a followed by one b,a+b,(a*)(b{1})
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*(aaa)
Odd number of 1s,0*10*(10*10*)*,(0|1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)|(b|a))(a|b)*(a)(a)(a)(a*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,aa*|(a?|b)*(a|b?)*
At least one a followed by one b,a+b,a(a|b)*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|(1+(0*1*)*1+)*|(0+(1*0*)*0+)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*(aaa)(a)*
even prefix,(ab|ba)*,(ab|ba)*|(aa|bb)*
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a*|(b(a*)b))+a*
even prefix,(ab|ba)*,(aa|bb)|(ab|ba)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(((0+1*)*0+)*|((1+0*)*1+)*)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|a*b+a*)*
Odd number of 1s,0*10*(10*10*)*,0*(11)*1(0|1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)*a{3,}"
even prefix,(ab|ba)*,(ab)*(aa|ab|ba|bb)*
